,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
212,09/11/2002,04:50:33,83.13600000000001,-6.077999999999999,Earthquake,10.0,,280.0,5.5,MWC,,,,,,0.93,USP000BBYP,US,US,HRV,Reviewed
213,12/19/2009,23:19:16,-10.107999999999999,33.818000000000005,Earthquake,6.0,,301.0,6.0,MWC,,,34.9,,,1.05,USP000H56X,US,US,US,Reviewed
214,01/13/1991,11:53:37,40.558,105.79299999999999,Earthquake,16.5,,,5.6,MS,,2.0,,,,1.1,USP0004KMK,US,US,US,Reviewed
215,09/26/1976,04:29:17,38.775,-0.59,Earthquake,10.0,,,5.6,MB,,,,,,,USP0000JMB,US,US,US,Reviewed
216,10/24/1976,20:33:29,50.382,3.9589999999999996,Earthquake,33.0,,,5.5,MB,,,,,,,USP0000K17,US,US,US,Reviewed
217,11/02/1976,11:19:14,-29.217,77.815,Earthquake,33.0,,,5.7,MB,,,,,,,USP0000K5G,US,US,US,Reviewed
218,02/25/1987,19:56:36,38.102,91.179,Earthquake,25.5,,,5.8,MW,,,,,,0.9,USP00032S6,US,US,HRV,Reviewed
219,01/07/1977,07:09:35,-52.257,114.59100000000001,Earthquake,33.0,,,5.5,MB,,,,,,,USP0000M39,US,US,US,Reviewed
220,09/16/1989,04:03:03,-32.561,-14.251,Earthquake,10.0,,,5.9,MW,,,,,,1.2,USP0003ZN0,US,US,HRV,Reviewed
221,02/05/1977,03:29:19,-66.44800000000001,-82.584,Earthquake,33.0,,,6.2,MS,,,,,,,USP0000MFP,US,US,US,Reviewed
222,02/16/1977,00:49:31,25.973000000000003,-26.258000000000003,Earthquake,33.0,,,5.5,MB,,,,,,,USP0000MK4,US,US,US,Reviewed
223,02/17/1977,20:25:21,-45.48,-19.065,Earthquake,33.0,,,5.7,MB,,,,,,,USP0000MKS,US,US,US,Reviewed
224,12/03/1980,17:32:58,-21.938000000000002,-138.961,Nuclear Explosion,0.0,,,5.6,MB,,,,,,,USP0001B53,US,US,US,Reviewed
225,09/30/2006,12:47:23,7.2829999999999995,-34.658,Earthquake,10.0,,470.0,5.5,MWC,,,27.9,,,0.83,USP000EU4Y,US,US,GCMT,Reviewed
226,07/23/2003,16:38:37,-15.592,-13.350999999999999,Earthquake,10.0,,392.0,5.8,MWB,,,30.1,,,0.78,USP000C356,US,US,US,Reviewed
227,08/14/1977,19:03:44,-22.752,-12.752,Earthquake,33.0,,,5.7,MS,,,,,,,USP0000Q3D,US,US,US,Reviewed
228,10/17/1977,17:26:40,-27.914,173.084,Earthquake,33.0,,,6.7,MS,,,,,,,USP0000R34,US,US,US,Reviewed
229,12/06/1978,13:28:36,17.447,-54.786,Earthquake,10.0,,,5.8,MS,,,,,,,USP0000XSP,US,US,US,Reviewed
230,12/15/1977,23:20:54,-4.761,34.913000000000004,Earthquake,33.0,,,5.6,MS,,,,,,,USP0000S3B,US,US,US,Reviewed
231,07/08/2013,15:30:28,16.707,40.830999999999996,Earthquake,10.5,2.6,130.0,5.5,MWB,,,52.0,,,0.77,USB000I8XL,US,US,US,Reviewed
232,07/11/2004,23:46:13,-20.252,-126.928,Earthquake,12.0,,351.0,6.1,MWB,,,21.2,,,0.94,USP000CZZD,US,US,US,Reviewed
233,02/24/1978,07:02:40,-4.61,-12.37,Earthquake,10.0,,,5.5,MB,,,,,,,USP0000T4B,US,US,US,Reviewed
234,03/24/1978,00:42:36,29.801,-67.4,Earthquake,20.0,,,6.1,MB,,,,,,,USP0000TM9,US,US,US,Reviewed
235,01/25/2016,04:22:03,35.6493,-3.6818,Earthquake,12.0,1.7,,6.3,MWW,,,20.0,2.201,5.9,0.92,US10004GY9,US,US,US,Reviewed
236,09/07/2010,19:54:28,-53.136,-118.171,Earthquake,10.0,,101.0,5.5,MWC,,,34.6,,,1.1,USP000HKDU,US,US,GCMT,Reviewed
237,06/01/1978,04:23:36,-0.081,151.159,Earthquake,33.0,,,5.7,MB,,,,,,,USP0000UV9,US,US,US,Reviewed
238,06/02/1992,21:05:01,-16.137999999999998,92.844,Earthquake,13.9,,,6.2,MW,,,,,,1.2,USP00058KF,US,US,HRV,Reviewed
239,08/03/1978,01:10:26,-0.905,84.28200000000001,Earthquake,33.0,,,5.6,MS,,,,,,,USP0000VWX,US,US,US,Reviewed
240,08/09/1978,17:59:58,63.706,125.321,Nuclear Explosion,0.0,,,5.6,MB,,,,,,,USP0000VZT,US,US,US,Reviewed
241,10/17/1978,13:59:58,63.143,63.391999999999996,Nuclear Explosion,0.0,,,5.5,MB,,,,,,,USP0000X1A,US,US,US,Reviewed
242,11/04/1978,15:22:19,37.674,48.901,Earthquake,34.0,,,6.1,MB,,,,,,,USP0000X8Y,US,US,US,Reviewed
243,01/23/1981,21:54:42,-29.682,60.839,Earthquake,10.0,,,6.8,MS,,,,,,,USP0001BVF,US,US,US,Reviewed
244,07/31/2006,01:24:16,10.166,-103.863,Earthquake,10.0,,56.0,5.5,MWB,,,84.3,,,1.06,USP000EPXV,US,US,US,Reviewed
245,04/23/1979,05:45:10,-16.535,120.175,Earthquake,33.0,,,5.9,MB,,,,,,,USP0001086,US,US,US,Reviewed
246,09/12/2003,08:17:38,-8.971,-108.77,Earthquake,10.0,,83.0,5.5,MWC,,,112.2,,,1.06,USP000C7B3,US,US,HRV,Reviewed
247,03/21/1984,08:27:51,-43.95,77.915,Earthquake,10.0,,,6.1,MW,,,,,,1.1,USP00022UD,US,US,NC,Reviewed
248,02/03/1994,15:43:44,-41.886,84.49,Earthquake,10.0,,,5.6,MW,,,,,,0.9,USP00067YU,US,US,HRV,Reviewed
249,07/17/1979,16:01:15,-4.426,98.757,Earthquake,31.0,,,5.7,MB,,,,,,,USP00011WS,US,US,US,Reviewed
250,03/17/1983,07:11:31,51.596000000000004,142.452,Earthquake,42.0,,,5.6,MB,,74.0,,,,0.9,USP0001TQB,US,US,US,Reviewed
251,08/24/1979,16:59:31,41.145,108.12899999999999,Earthquake,33.0,,,5.9,MS,,,,,,,USP00012KV,US,US,US,Reviewed
252,09/25/1979,13:05:54,45.083,77.006,Earthquake,40.0,,,5.9,MB,,,,,,,USP000134G,US,US,US,Reviewed
253,10/22/1979,17:04:39,-64.872,-170.537,Earthquake,10.0,,,5.5,MB,,,,,,,USP00013N8,US,US,US,Reviewed
254,11/10/1979,07:41:27,-59.463,-150.892,Earthquake,10.0,,,5.8,MS,,,,,,,USP00013Y4,US,US,US,Reviewed
255,06/27/1997,04:39:53,38.334,-26.684,Earthquake,10.0,,,5.9,MWC,,,,,,1.09,USP0008416,US,US,HRV,Reviewed
256,02/01/1981,13:19:59,36.443000000000005,1.655,Earthquake,10.0,,,5.7,MS,,4.0,,,,1.1,USP0001C0J,US,US,US,Reviewed
257,12/15/1980,22:11:50,45.988,90.384,Earthquake,33.0,,,5.5,MB,,,,,,,USP0001BA0,US,US,US,Reviewed
258,12/22/1980,12:51:21,34.503,50.59,Earthquake,41.0,,,5.5,MB,,,,,,,USP0001BDE,US,US,US,Reviewed
