,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
327,35:59.1,-47.347,-12.402999999999999,10.0,6.0,Mw,63.0,,,1.24,NEI,2000102140.0
328,13:24.3,-7.872999999999999,135.816,61.7,6.0,Mw,129.0,,,0.89,NEI,2000122340.0
329,16:40.5,23.419,70.232,16.0,7.7,Mw,472.0,,,1.25,NEI,2001012640.0
330,16:59.2,-19.691,177.39,10.0,6.2,Mw,192.0,,,1.07,NEI,2001021440.0
331,49:47.0,54.8,-134.25,20.0,6.8,Mw,772.0,,,0.0,PGC,2004062840.0
332,54:32.8,47.148999999999994,-122.7267,51.9,6.8,Mc,66.0,31.0,8.0,0.2,UW,
333,45:43.0,-7.04,-12.618,10.0,6.0,Mw,181.0,,,1.2,NEI,2011081020.0
334,54:50.0,-9.05,110.365,25.0,6.0,Mw,237.0,,,1.13,NEI,2006092140.0
335,25:54.1,0.889,82.501,10.0,6.1,Mw,281.0,,,0.96,NEI,2001090240.0
336,29:09.9,19.354,-64.932,33.0,6.0,Mw,215.0,,,0.87,NEI,2001101740.0
337,47:36.5,22.371,-106.973,33.0,6.1,Mw,263.0,,,1.23,NEI,2001111340.0
338,26:10.0,35.946,90.541,10.0,7.8,Mw,368.0,,,1.07,NEI,2001111440.0
339,02:35.0,-42.813,124.68799999999999,10.0,7.1,Mw,255.0,,,0.97,NEI,2001121240.0
340,04:22.5,-28.936999999999998,-66.797,22.2,6.0,Mw,354.0,,,0.98,NEI,2002052840.0
341,53:48.5,-0.879,148.33,10.0,6.3,Mw,169.0,,,1.22,NEI,2002060640.0
342,58:21.3,35.626,49.047,10.0,6.5,Mw,555.0,,,1.11,NEI,2002062240.0
343,21:28.6,38.381,13.700999999999999,5.0,6.0,Mw,528.0,,,0.0,ROM,2002090640.0
344,08:29.6,23.324,-108.53,10.0,6.5,Mw,265.0,,,1.37,NEI,2002100340.0
345,23:58.8,-42.038999999999994,88.37899999999999,10.0,6.0,Mw,53.0,,,1.03,NEI,2002100840.0
346,08:38.0,-1.8840000000000001,29.004,11.0,6.2,Mw,345.0,,,1.05,NEI,2002102440.0
347,58:31.8,-56.051,-36.404,10.0,6.6,Mw,202.0,,,1.48,NEI,2002111540.0
348,46:11.4,16.957,-85.57799999999999,33.0,6.0,Mw,288.0,,,0.91,NEI,2002122340.0
349,42:56.3,-36.958,-20.879,10.0,6.2,Mw,298.0,,,0.95,NEI,2003030240.0
350,22:02.6,37.565,95.833,19.0,6.3,Mw,432.0,,,0.86,NEI,2008111040.0
351,03:35.9,18.266,-58.633,41.5,6.7,Mw,722.0,,,0.72,NEI,2003051440.0
352,44:20.1,36.964,3.634,12.0,6.8,Mw,534.0,,,1.13,NEI,2003052140.0
353,37:45.8,-1.528,149.694,24.0,6.4,Mw,604.0,,,0.71,NEI,2003072540.0
354,37:20.1,-60.532,-43.411,10.0,7.6,Mw,315.0,,,1.09,NEI,2003080440.0
355,52:47.0,50.091,87.765,10.0,6.4,Mw,656.0,,,0.93,NEI,2003092741.0
356,41:48.0,-61.028999999999996,-34.371,13.0,7.0,Mw,322.0,,,1.01,NEI,2006082040.0
357,55:28.8,-16.526,-170.192,10.0,6.2,Mw,450.0,,,0.89,NEI,2003100740.0
358,32:47.8,-36.696,53.352,5.3,6.2,Mw,410.0,,,0.88,NEI,2004011140.0
359,27:46.2,35.141999999999996,-3.997,0.0,6.4,Mw,786.0,,,0.0,MDD,2004022440.0
360,47:29.2,33.954,89.179,8.0,6.0,Mw,455.0,,,0.77,NEI,2004032740.0
361,38:44.5,36.29,51.61,17.0,6.3,Mw,732.0,,,0.92,NEI,2004052840.0
362,54:33.8,-25.055,-115.964,10.0,6.0,Mw,185.0,,,1.08,NEI,2004070840.0
363,46:12.6,-20.252,-126.928,12.0,6.1,Mw,351.0,,,0.94,NEI,2004071140.0
364,35:19.1,-2.427,103.98100000000001,582.1,7.3,Mw,641.0,,,0.85,NEI,2004072540.0
365,03:10.3,-63.563,-166.666,10.0,6.0,Mw,91.0,,,1.33,NEI,2004080140.0
366,21:43.4,84.948,99.391,10.0,6.3,Mw,641.0,,,0.91,NEI,2005030640.0
367,52:36.6,78.607,6.098,10.0,6.1,Mw,473.0,,,0.92,NEI,2005040240.0
368,19:56.6,-6.224,29.83,22.0,6.8,Mw,561.0,,,0.98,NEI,2005120540.0
369,19:07.8,-21.324,33.583,11.0,7.0,Mw,412.0,,,1.37,NEI,2006022240.0
370,34:31.2,-60.2627,-47.0621,9.97,6.9,Mw,,17.0,8.0,0.84,us,2013111620.0
371,17:01.0,33.5,48.78,7.0,6.1,Mw,586.0,,,1.06,NEI,2006033140.0
372,28:02.1,33.028,-39.702,9.0,6.0,Mw,522.0,,,0.87,NEI,2006061840.0
373,18:49.8,10.125,58.708,8.0,6.2,Mw,396.0,,,0.89,NEI,2007011740.0
374,35:22.7,35.804,-10.312000000000001,20.0,6.0,Mw,697.0,,,1.01,NEI,2007021240.0
375,11:52.1,26.581,-44.593999999999994,10.0,6.0,Mw,387.0,,,0.99,NEI,2007030140.0
376,49:35.9,-45.382,-73.058,4.9,6.1,Mw,204.0,,,0.0,GUC,2007040240.0
377,56:50.5,37.306,-24.621,14.0,6.3,Mw,627.0,,,0.82,NEI,2007040540.0
378,24:49.0,-61.828,160.96,10.0,6.0,Mw,73.0,,,1.36,NEI,2007041240.0
379,55:12.0,20.686999999999998,99.822,8.0,6.8,Mw,335.0,,,1.1,NEI,2011032420.0
380,17:37.3,36.808,134.85,350.4,6.8,Mw,664.0,,,0.73,NEI,2007071640.0
381,49:11.8,2.966,-77.96300000000001,15.0,6.8,Me,653.0,,,0.89,NEI,2007091040.0
382,06:38.9,-57.625,-147.303,10.0,6.0,Mw,99.0,,,1.38,NEI,2007091341.0
383,43:32.8,11.142999999999999,145.999,13.0,6.3,Mw,443.0,,,0.89,NEI,2010071040.0
384,26:45.5,32.288000000000004,85.166,10.0,6.4,Mw,485.0,,,0.89,NEI,2008010940.0
385,46:18.2,77.079,18.570999999999998,12.0,6.1,Mw,637.0,,,0.81,NEI,2008022140.0
386,16:02.7,41.153,-114.867,6.7,6.0,Mw,518.0,,,0.0,REN,2008022141.0
387,16:46.9,-38.844,-91.62299999999999,10.0,6.0,Mw,143.0,,,0.97,NEI,2008060540.0
388,56:30.0,67.69800000000001,141.276,18.0,6.1,Mw,605.0,,,0.86,NEI,2008062240.0
389,30:45.6,29.807,90.35,12.0,6.3,Mw,434.0,,,0.99,NEI,2008100640.0
390,15:41.1,-9.02,-108.24600000000001,10.0,6.1,Mw,241.0,,,1.12,NEI,2008103040.0
391,39:09.5,-53.005,106.823,11.0,6.3,Mw,365.0,,,0.95,NEI,2008120840.0
392,11:46.7,75.351,-72.453,19.0,6.1,Mw,347.0,,,1.0,NEI,2009070740.0
393,35:04.4,72.2,0.9440000000000001,6.0,6.0,Mw,465.0,,,0.93,NEI,2009082040.0
394,06:25.5,10.709000000000001,-67.92699999999999,14.0,6.4,Mw,508.0,,,1.24,NEI,2009091240.0
395,53:05.9,27.331999999999997,91.43700000000001,14.0,6.1,Mw,259.0,,,0.98,NEI,2009092140.0
396,48:21.9,3.272,-103.823,10.0,6.0,Mw,305.0,,,0.96,NEI,2009101540.0
397,04:46.2,-59.955,-65.163,10.0,6.0,Mw,192.0,,,1.11,NEI,2009102740.0
398,19:15.5,-10.107999999999999,33.818000000000005,6.0,6.0,Mw,301.0,,,1.05,NEI,2009121940.0
399,23:24.0,-59.401,-150.975,10.0,6.0,Mw,44.0,,,1.3,NEI,2009123140.0
400,53:10.1,18.442999999999998,-72.571,13.0,7.0,Mw,500.0,,,0.97,NEI,2010011240.0
401,45:37.0,-24.872,-65.602,10.0,6.3,Mw,376.0,,,0.0,SJA,2010022742.0
402,05:24.6,-16.236,-115.296,18.0,6.3,Mw,448.0,,,0.9,NEI,2010030740.0
403,08:12.8,36.965,-3.542,609.8,6.3,Mw,588.0,,,0.0,MDD,2010041140.0
404,25:15.6,33.195,96.449,7.6,6.1,Mw,251.0,,,0.87,NEI,2010041440.0
405,16:28.6,60.478,-177.65,14.9,6.3,Mw,302.0,,,0.78,NEI,2010043040.0
406,10:14.6,54.08,123.72200000000001,12.0,6.1,Mw,499.0,,,0.76,NEI,2011101420.0
407,32:00.4,19.831,-109.205,10.0,6.3,Mw,401.0,,,1.03,NEI,2011110120.0
408,48:16.3,-15.364,-65.09,549.9,6.6,Mw,832.0,,,0.8,NEI,2011112220.0
409,21:56.8,51.842,95.911,15.0,6.6,Mw,545.0,,,0.81,NEI,2011122720.0
410,27:56.8,1.254,91.735,10.0,6.0,Mb,205.0,,,1.05,NEI,2012041120.0
411,57:40.1,2.5810000000000004,90.26899999999999,25.0,6.2,Mw,322.0,,,0.91,NEI,2012041520.0
412,03:52.0,44.89,11.23,6.3,6.1,Mw,729.0,,,0.0,ROM,2012052020.0
413,47:46.8,72.96,5.683,10.0,6.2,Mw,579.0,,,1.18,NEI,2012052420.0
414,07:33.9,43.433,84.7,18.0,6.3,Mw,526.0,,,0.94,NEI,2012062920.0
415,36:15.5,-40.023,173.75599999999997,229.8,6.3,Mw,462.0,,,0.0,WEL,2012070320.0
416,31:26.8,-45.761,-77.053,9.0,6.1,Mw,208.0,,,1.06,NEI,2012111310.0
417,36:02.0,31.213,-119.56,11.3,6.4,Mw,589.0,,,1.03,NEI,2012121410.0
418,09:37.1,-62.571000000000005,-161.43200000000002,10.0,6.1,Mw,75.0,40.0,,1.13,NEI,2013011520.0
419,08:08.5,26.56,57.77,15.0,6.1,Mw,351.0,32.0,1.0,0.0,NEI,2013051120.0
420,54:41.9,-27.7953,179.6722,488.61,6.1,Mw,136.0,31.0,3.0,1.48,NEI,2013082820.0
421,01:36.4,15.1836,-45.232,10.0,6.0,Mw,,24.0,14.0,0.8,us,2013090520.0
422,34:06.4,27.1825,65.5052,12.0,6.8,Mw,,17.0,7.0,0.91,us,2013092820.0
423,27:34.0,-53.8813,-54.8821,10.0,7.0,Mw,,31.0,3.0,1.11,us,2013112520.0
424,01:04.7,19.0014,-66.8478,28.0,6.4,Mw,,21.0,1.0,1.42,us,2014011320.0
