,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1384,49:35.9,-45.382,-73.058,4.9,6.1,Mw,204.0,,,0.0,GUC,2007040240.0
1385,56:50.5,37.306,-24.621,14.0,6.3,Mw,627.0,,,0.82,NEI,2007040540.0
1386,24:49.0,-61.828,160.96,10.0,6.0,Mw,73.0,,,1.36,NEI,2007041240.0
1387,24:19.2,-35.051,-108.836,10.0,6.1,Mw,256.0,,,0.93,NEI,2007041340.0
1388,45:56.1,25.71,125.10799999999999,9.0,6.3,Mw,525.0,,,0.98,NEI,2007042040.0
1389,51:39.1,34.248000000000005,81.96700000000001,9.0,6.1,Mw,394.0,,,1.14,NEI,2007050540.0
1390,01:08.9,-19.406,-179.315,688.0,6.1,Mw,423.0,,,0.9,NEI,2007050640.0
1391,56:14.1,20.503,100.73200000000001,9.0,6.3,Mw,401.0,,,0.9,NEI,2007051640.0
1392,23:03.0,-10.492,108.149,10.0,6.0,Mw,327.0,,,0.92,NEI,2007062640.0
1393,52:11.0,-7.979,154.635,18.0,6.7,Mw,419.0,,,1.07,NEI,2007062840.0
1394,27:34.5,-15.383,168.597,8.0,6.1,Mw,417.0,,,1.05,NEI,2007071540.0
1395,17:37.3,36.808,134.85,350.4,6.8,Mw,664.0,,,0.73,NEI,2007071640.0
1396,46:26.9,-21.459,170.93900000000002,10.0,6.1,Mw,313.0,,,1.36,NEI,2007072740.0
1397,37:42.4,47.11600000000001,141.798,5.0,6.2,Mw,429.0,,,1.08,NEI,2007080240.0
1398,04:57.8,-5.926,107.681,291.2,6.1,Mb,531.0,,,1.05,NEI,2007080840.0
1399,42:28.5,8.037,-39.251,6.0,6.5,Me,655.0,,,0.94,NEI,2007082041.0
1400,26:23.0,25.127,-109.574,14.0,6.0,Mw,520.0,,,1.11,NEI,2012100810.0
1401,14:53.6,45.836000000000006,150.06,94.0,6.2,Me,686.0,,,0.81,NEI,2007090340.0
1402,49:11.8,2.966,-77.96300000000001,15.0,6.8,Me,653.0,,,0.89,NEI,2007091040.0
1403,27:50.7,-2.7460000000000004,100.89200000000001,35.0,6.0,Mw,331.0,,,0.95,NEI,2007091940.0
1404,06:38.9,-57.625,-147.303,10.0,6.0,Mw,99.0,,,1.38,NEI,2007091341.0
1405,08:30.2,10.454,145.718,14.0,6.9,Mw,535.0,,,1.13,NEI,2007093040.0
1406,17:52.8,-25.189,179.459,509.4,6.5,Mw,573.0,,,1.05,NEI,2007100540.0
1407,13:29.4,-51.777,161.31799999999998,10.0,6.6,Mw,73.0,,,1.33,NEI,2007111040.0
1408,40:50.5,-22.247,-69.89,40.0,7.7,Me,610.0,,,1.11,NEI,2007111440.0
